"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"NOBLEWELL Coffee Table Lift Top with Storage Compartment and Separated Open Shelves, Pop Up Coffee Table for Living Room, 39.4in L, Vintage Brown","B0922FNFBK","https://www.amazon.com/dp/B0922FNFBK?psc=1","https://m.media-amazon.com/images/I/715ZWgqT1hL._AC_SX569_.jpg","NOBLEWELL",109.99,359,"39,486.41","33,147","CN",46.39,12,4.3,"1,041",8,28,"NOBLEWELL Direct","Home & Kitchen","Small Oversize","FBA","23.1x5.0x42.1",48.11,"7/1/2021"
"OKD 48'' Coffee Table with Storage & Sliding Barn Doors, Farmhouse & Industrial Cocktail Table w/Adjustable Shelves, Rectangular Rustic Living Room Table for Living Meeting Room, Reclaimed Barnwood","B0BRLBV3Z4","https://www.amazon.com/dp/B0BRLBV3Z4?psc=1","https://m.media-amazon.com/images/I/91yVWfcn2IL._AC_SX679_.jpg","OKD",199.99,447,"89,395.53","55,836","CN","n/a",1,4.6,131,5,32,"OKD-us","Home & Kitchen","n/a","MFN","n/a","n/a","2/10/2023"
"($) WLIVE Lift Top Coffee Table for Living Room,Coffee Table with Storage,Hidden Compartment and Metal Frame, Central Table for Reception Room,Rustic Brown","B0BBQF5N3Q","https://www.amazon.com/dp/B0BBQF5N3Q?psc=1","https://m.media-amazon.com/images/I/81TGrbWvJiL._AC_SX466_.jpg","WLIVE",109.99,293,"32,227.07","92,861","CN",44.71,2,3.8,122,8,19,"WLIVE","Home & Kitchen","Small Oversize","FBA","21.5x4.5x42.5",45.01,"8/24/2022"
"($) AOCOROE Large Wood Coffee Table with Lockable Casters French Country Style Coffee Table with Drawers. 47 Inch Center Table for Living Room","B09H3161SM","https://www.amazon.com/dp/B09H3161SM?psc=1","https://m.media-amazon.com/images/I/81lSnBMf06L._AC_SX522_.jpg","AOCOROE",197.99,98,"19,403.02","340,910","JP",93.27,1,4.8,20,8,2,"Lepus","Home & Kitchen","Medium Oversize","MFN","27.3x50.8x10.8",79.37,"9/24/2021"
"($) Coffee Table for Living Room, 47''Modern Faux Marble Top Coffee Table with Metal Frame, 2-Tier Living Room Table with Storage Shelf, Rectangular Center Table for Living Room, Office, Black","B0BP21H5VF","https://www.amazon.com/dp/B0BP21H5VF?psc=1","https://m.media-amazon.com/images/I/918JgB6r0AL._AC_SX425_.jpg","gatherstar",129.99,21,"2,729.79","572,342","CN","n/a",2,5.0,2,6,0,"Nice Furniture for You","Home & Kitchen","n/a","MFN","n/a","n/a","12/5/2022"
"($) WAMPAT Modern Farmhouse Coffee Table, Rectangle Wood Center Table with Open Storage for Living Room, Spliced Wood Desktop, Riveted Metal Bars, Prismatic Decor, 42 Inch, Rustic Brown","B0921Z4WQ4","https://www.amazon.com/dp/B0921Z4WQ4?psc=1","https://m.media-amazon.com/images/I/81UXm2+OvqL._AC_SY355_.jpg","WAMPAT",194.99,14,"2,729.86","708,933","CN","n/a",1,4.7,65,7,0,"Dropship Shopping Centre","Home & Kitchen","n/a","MFN","n/a","n/a","4/8/2021"
"Meihua Glass Coffee Table for Living Room Rectangle Modern End Table…","B08HS14ZSX","https://www.amazon.com/dp/B08HS14ZSX?psc=1","https://m.media-amazon.com/images/I/713FyY+S+CL._AC_SY450_.jpg","Meihua",104.99,472,"49,555.28","61,617","CN",46.06,1,4.7,"1,413",7,27,"Meihua Home","Home & Kitchen","Small Oversize","FBA","26.6x4.7x42.4",49.06,"6/1/2020"
"XXXDXDP 2 in 1 Marble Texture Coffee Table for Living Room Sofa Side Round Combination Home Furniture Metal Bracket","B0BV637BCP","https://www.amazon.com/dp/B0BV637BCP?psc=1","https://m.media-amazon.com/images/I/51wBPLU76HL._AC_SX466_.jpg","XXXDXDP","4,000.00",0,0.00,"8,589,158","CN","n/a",2,1.0,1,9,0,"刘宗杭","Home & Kitchen","n/a","MFN","n/a","n/a","2/8/2023"
"SAYGOER Coffee Table Simple Modern Coffee Tables Open Design Rectangular Minimalist Center Table for Living Room Home Office Industrial Cocktail Tables, Easy Assembly, 39.37 x 19.69 x 17.72, OAK White","B0BQ3BP4ND","https://www.amazon.com/dp/B0BQ3BP4ND?psc=1","https://m.media-amazon.com/images/I/71tYICS8fRL._AC_SX425_.jpg","SAYGOER",39.97,351,"14,029.47","88,787","CN",24.55,1,4.4,115,4,12,"SAYGOER DIRECT","Home & Kitchen","Small Oversize","FBA","23.0x2.0x42.5",21.75,"12/14/2022"
"Walker Edison Modern Glam Round Accent Faux White Marble Coffee Table with Gold X-Base, 36 Inch","B071YPHMY6","https://www.amazon.com/dp/B071YPHMY6?psc=1","https://m.media-amazon.com/images/I/612+ys+zJhL._AC_SX522_.jpg","Walker Edison",97.09,490,"47,574.10","45,318","AMZ",48.73,9,4.3,"5,401",5,6,"Amazon","Home & Kitchen","Medium Oversize","FBA","38.2x3.5x38.2",24.85,"n/a"
