"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"saicheng Girls Vanity Desk with Mirror and Lights, White Makeup Vanity Table with Chair, Dresser Desk with 4 Storage Drawers for Bedroom","B0BWJ8BQKL","https://www.amazon.com/dp/B0BWJ8BQKL?psc=1","https://m.media-amazon.com/images/I/61WnrPeFL0L._AC_SX569_.jpg","saicheng",179.99,"n/a","n/a","108,182","CN","n/a",1,"n/a",0,6,0,"Saicheng","Home & Kitchen","Small Oversize","FBA","22.0x8.0x35.0",66.01,"2/22/2023"
"($) Wildhome Vanity Set with Lighted Mirror,Vanity Desk with 2 Drawers,Makeup Vanity Dressing Table with 9 Lights for Women, Dresser Desk Vanity Set for Bedroom,with Cushioned Stool,Gold (White)","B0BRLW9D1Z","https://www.amazon.com/dp/B0BRLW9D1Z?psc=1","https://m.media-amazon.com/images/I/91DPGxBMwML._AC_SY450_.jpg","Wildhome",189.99,49,"9,309.51","204,128","CN",65.11,2,3.3,4,7,0,"Wildhome","Home & Kitchen","Small Oversize","MFN","29.3x39.4x7.7",64.56,"1/4/2023"
"($) WJFORLION Vanity Set with Lighted Mirror, 43'' Makeup Vanity with 3 Lighting Colors & Power Outlet, 7 Drawers, Storage Shelves, White Vanity and Girls Makeup Vanity for Bedroom","B0C4FJ13TC","https://www.amazon.com/dp/B0C4FJ13TC?psc=1","https://m.media-amazon.com/images/I/713lhsnVvgL._AC_SX569_.jpg","WJFORLION",289.90,"n/a","n/a","149,722","CN","n/a",1,"n/a",0,7,0,"fortunecatc","Tools & Home Improvement","n/a","MFN","n/a","n/a","5/5/2023"
"AOGLLATI Vanity Desk with Mirror and Lights in 3 Colors, Makeup Vanity with Lights and Drawers,White Vanity Table with Charging Station, Makeup Desk with Unique Separation Design (Modern-White)","B0BR9SCLVF","https://www.amazon.com/dp/B0BR9SCLVF?psc=1","https://m.media-amazon.com/images/I/71kdXMMHrSL._AC_SX466_.jpg","AOGLLATI",179.99,92,"16,559.08","115,381","CN","n/a",1,4.4,14,7,0,"CAcaco","Home & Kitchen","n/a","MFN","n/a","n/a","5/2/2023"
"ANWBROAD Makeup Vanity Desk Vanity Set with Lighted Mirror Makeup Vanity Desk Table Set Large 8 LED Bulbs Frameless Mirror 3 Colors Modes Dimming Cushioned Stool 7 Drawers 3 Dividers White UBDT03W","B0B5DGZX65","https://www.amazon.com/dp/B0B5DGZX65?psc=1","https://m.media-amazon.com/images/I/61cE4P7Zq7L._AC_SX679_.jpg","ANWBROAD",99.99,115,"11,498.85","173,523","CN","n/a",1,4.4,539,9,5,"ANWBROADDirect","Home & Kitchen","n/a","MFN","n/a","n/a","6/27/2022"
"White Makeup Vanity Desk with Lights and Power Strip, Lighted Mirror Vanity Table with 3-Color Dimmable,5 Drawers Large Makeup Table with Hair Dryer Rack and Lots Storage,39.4in(L)","B0C1MC9R7D","https://www.amazon.com/dp/B0C1MC9R7D?psc=1","https://m.media-amazon.com/images/I/717oEwKx+pL._AC_SY450_.jpg","Vabches",199.99,"n/a","n/a","n/a","CN","n/a",1,4.0,52,8,7,"Loie","Home & Kitchen","n/a","MFN","n/a","n/a","4/6/2023"
"BEWISHOME Vanity Desk with Mirror and Lights, Makeup Vanity with Lights, White Vanity Set, Makeup Desk with 3 Color Lighting, Vanity Table with Cabinet & 2 Drawers, Dressing Table Makeup Table FST15M","B0BGPLBQP9","https://www.amazon.com/dp/B0BGPLBQP9?psc=1","https://m.media-amazon.com/images/I/61SS4-azdYL._AC_SY450_.jpg","BEWISHOME",119.99,166,"19,918.34","129,825","CN",51.67,1,4.3,39,8,1,"BEWISHOME","Home & Kitchen","Small Oversize","MFN","19.3x35.0x9.5",57.30,"9/28/2022"
"Rovaurx Makeup Vanity with 3-Color Dimmable Lighted Mirror, Large Vanity Table with Side Storage Shelf & 4 Drawers, for Mother's Day, Bedroom Dressing Desk, Brightness Adjustable, White RSZT107W","B0BRPZ9GB7","https://www.amazon.com/dp/B0BRPZ9GB7?psc=1","https://m.media-amazon.com/images/I/71lf6LsEoqL._AC_SX425_.jpg","Rovaurx",189.99,222,"42,177.78","166,444","CN",81.15,1,4.1,20,7,7,"airbuyhome","Home & Kitchen","Medium Oversize","MFN","27.2x35.4x8.3",81.00,"n/a"
"Tiptiper Vintage Makeup Vanity with Lights in 3 Colors, Vanity Table with Charging Station of 2 USB Ports and Outlets, Vanity Desk with Large Mirror, Drawers and Shelves, Rustic Brown and Black","B09X325GJD","https://www.amazon.com/dp/B09X325GJD?psc=1","https://m.media-amazon.com/images/I/81qRpmzyc6L._AC_SX569_.jpg","Tiptiper",199.99,502,"100,394.98","68,642","CN","n/a",1,4.4,280,8,13,"Stickto mystyle","Home & Kitchen","n/a","MFN","n/a","n/a","4/25/2022"
"Irontar Makeup Vanity Table, Makeup Table with Large Mirror and 11 LED Lights, Brightness Adjustable, Dressing Table Desk with 4 Drawers, Bedroom Vanity Desk for Girls, Women, White WDT002W","B0B3HZSHTR","https://www.amazon.com/dp/B0B3HZSHTR?psc=1","https://m.media-amazon.com/images/I/81p1fmzGgWL._AC_SX466_.jpg","Irontar",199.99,443,"88,595.57","77,693","CN","n/a",1,4.2,117,9,16,"Irontar Direct","Home & Kitchen","n/a","MFN","n/a","n/a","10/1/2022"
"Likein Corner Makeup Vanity Desk with Mirror and Lights, Bedroom Vanity Table with Lighted Mirror 5 Drawers and Storage Shelf for Women Girls White","B0BGQPPHDR","https://www.amazon.com/dp/B0BGQPPHDR?psc=1","https://m.media-amazon.com/images/I/61+pjad9hrL._AC_SX425_.jpg","Likein",159.98,144,"23,037.12","181,610","CN","n/a",2,4.2,49,7,4,"AMZOOM-US","Home & Kitchen","n/a","MFN","n/a","n/a","9/28/2022"
"SONGMICS Jewelry Cabinet Armoire, Wall/Door Mount Storage Organizer with Full-Length Frameless Mirror, Lockable Cabinet with Built-in Small Mirror, Shelves, Gift Idea, White UJJC003W01","B08GYVJXHQ","https://www.amazon.com/dp/B08GYVJXHQ?psc=1","https://m.media-amazon.com/images/I/71YEkLidVML._AC_SY450_.jpg","SONGMICS",59.49,990,"58,895.10","17,110","AMZ",35.45,2,4.6,"1,783",7,47,"Amazon","Clothing, Shoes & Jewelry","Small Oversize","AMZ","17.5x7.0x46.0",24.65,"8/29/2020"
"DCA 25 PCS Clear Plastic Drawer Organizer Tray for Makeup, Kitchen Utensils, Jewelries and Gadgets","B0BFWG2G5N","https://www.amazon.com/dp/B0BFWG2G5N?psc=1","https://m.media-amazon.com/images/I/71mbx23lVRL._AC_SX466_PIbundle-25,TopRight,0,0_SH20_.jpg","DCA",15.96,"2,144","34,218.24","16,585","CN",9.88,1,4.5,169,9,35,"DCA-STORE","Home & Kitchen","Large Standard-Size","FBA","7.9x6.7x9.3",3.68,"9/20/2022"
"Cozy Castle White Vanity Desk with Mirror and Lights, Makeup Desk with Storage Cabinet, Small Vanity Table for Bedroom","B0BJKBNRXX","https://www.amazon.com/dp/B0BJKBNRXX?psc=1","https://m.media-amazon.com/images/I/718DmHRKy-L._AC_SX425_.jpg","Cozy Castle",99.99,35,"3,499.65","210,338","CN","n/a",1,4.6,22,7,5,"cozypshouse","Home & Kitchen","n/a","MFN","n/a","n/a","10/18/2022"
