"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"Frenchi Furniture Magazine Table Finish: White","B006T3R5HI","https://www.amazon.com/dp/B006T3R5HI?psc=1","https://m.media-amazon.com/images/I/41iT+49l1FL._AC_SY355_.jpg","Frenchi Furniture",14.82,176,"2,608.32","40,753","AMZ",18.67,9,4.6,"1,467",1,3,"Amazon","Home & Kitchen","Small Oversize","AMZ","18.0x5.2x25.2",10.80,"1/3/2012"
"HLR Side Table Round, Small Wood End Table for Living Room, Bedroom and Small Spaces, Modern Nightstand Bedside Table with Easy Assembly Black Legs, Black Top","B0BJJDKP6B","https://www.amazon.com/dp/B0BJJDKP6B?psc=1","https://m.media-amazon.com/images/I/81SHCh7CnzL._AC_SY450_.jpg","HLR",38.99,130,"5,068.70","200,404","CN",17.68,1,4.3,37,7,2,"Cozy homedecor","Home & Kitchen","Small Oversize","FBA","16.4x2.5x17.0",5.10,"10/18/2022"
"IOTXY Home Round Coffee Table - 15.7"" Small 2-Tier End Table with Open Storage Shelf, White Wooden Table Top Gold Metal Frame Side Table","B08HZ7CZRX","https://www.amazon.com/dp/B08HZ7CZRX?psc=1","https://m.media-amazon.com/images/I/51odvSD67jL._AC_SX569_.jpg","IOTXY",39.99,153,"6,118.47","173,361","CN",19.09,1,4.3,166,7,4,"YUKEE DIRECT","Home & Kitchen","Small Oversize","FBA","16.6x2.3x18.5",8.20,"9/14/2020"
"Convenience Concepts Oxford Console Table with Shelf, White","B00WGGF466","https://www.amazon.com/dp/B00WGGF466?psc=1","https://m.media-amazon.com/images/I/713nh3hOWlL._AC_SX466_.jpg","Convenience Concepts",80.99,718,"58,150.82","19,886","AMZ",34.63,21,4.6,"8,373",7,54,"Amazon","Home & Kitchen","Small Oversize","FBA","15.0x6.0x42.0",28.70,"4/14/2015"
"Tajsoon Console Table, Industrial entryway Table, Narrow Sofa Table with Shelves,Entrance Table for Entryway, Hallway, Living Room, Foyer, Corridor, Office, Rustic Brown and Black","B0989DQJ9L","https://www.amazon.com/dp/B0989DQJ9L?psc=1","https://m.media-amazon.com/images/I/814rUarzH8L._AC_SY450_.jpg","Tajsoon",59.99,"2,608","156,453.92","14,121","CN",19.85,1,4.5,"1,195",7,77,"tajsoon","Home & Kitchen","Large Standard-Size","FBA","12.4x4.0x16.8",14.22,"6/30/2021"
"Furinno Simple Design End/SideTable, Espresso","B003VP10PK","https://www.amazon.com/dp/B003VP10PK?psc=1","https://m.media-amazon.com/images/I/51s0FECr-BL._AC_SY355_.jpg","Furinno",10.24,"1,653","16,926.72","4,026","AMZ",15.89,7,4.4,"10,488",9,83,"Amazon","Home & Kitchen","Small Oversize","AMZ","22.0x2.1x22.7",11.90,"8/23/2011"
"Furinno Andrey End Table / Side Table / Night Stand / Bedside Table with Bin Drawer, Espresso/Brown","B004UME2PS","https://www.amazon.com/dp/B004UME2PS?psc=1","https://m.media-amazon.com/images/I/610cB5E0v1L._AC_SX466_.jpg","Furinno",16.30,"5,817","94,817.10","3,607","AMZ",17.22,11,4.1,"54,120",9,427,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.4x3.2x19.9",12.05,"3/31/2011"
"Round End Table Wood Round Side Table for Small Spaces,Vintage Outdoor Farmhouse End Table For Living Room, Balcony, Countyard, Sofa, Bedroom, Industrial Narrow Coffee Table in Black and Brown","B09V7NYBLS","https://www.amazon.com/dp/B09V7NYBLS?psc=1","https://m.media-amazon.com/images/I/61Womx0BxJL._AC_SX679_.jpg","Feyejade",49.99,50,"2,499.50","253,225","CN",23.26,1,4.7,47,7,1,"Yuminghua","Home & Kitchen","Small Oversize","FBA","18.5x4.0x23.5",8.95,"3/10/2022"
"Walker Edison Cora Modern Faux Marble Round Accent Table with X Base, 16 Inch, Marble and Gold","B0718Z3G9D","https://www.amazon.com/dp/B0718Z3G9D?psc=1","https://m.media-amazon.com/images/I/51JtOvjyA5L._AC_SX466_.jpg","Walker Edison",47.59,490,"23,319.10","45,318","AMZ",21.91,3,4.3,"5,401",8,7,"Amazon","Home & Kitchen","Small Oversize","FBA","19.4x3.4x26.6",9.03,"n/a"
"Gold Console Table, Glass Sofa Tables, Modern Open Hallway Table, Narrow Entryway Table, Slim Accent Porch Table, Couch Side Table with Golden Metal Frame, Easy Assembly, Minimalist Style (Glass Top)","B08R7LHY5L","https://www.amazon.com/dp/B08R7LHY5L?psc=1","https://m.media-amazon.com/images/I/81c+FHwfnzL._AC_SY450_.jpg","Wimarsbon",59.99,220,"13,197.80","153,225","CN",22.75,1,4.4,133,8,9,"Wimarsbon Express","Home & Kitchen","Small Oversize","MFN","14.0x7.0x44.8",16.80,"12/23/2020"
"Goroly Home Hand Crafted Solid Wood Accent Table, Side Table, Entryway Table, Wooden End Table, Octagonal Wooden Table - 12 Inch Round Top x 12 Inch High - White Wash","B0BLNTX829","https://www.amazon.com/dp/B0BLNTX829?psc=1","https://m.media-amazon.com/images/I/81fKEToZr7L._AC_SY450_.jpg","Goroly Home",54.99,49,"2,694.51","225,617","IN",17.18,1,4.3,54,9,1,"Goroly Home","Home & Kitchen","Large Standard-Size","FBA","13.2x5.8x14.5",7.56,"1/13/2023"
