"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"($) Wood Coffee Table for Living Room Sliding Top with Hidden Storage,Rectangle Modern Cocktail Table, Pull Out Center Table, Extendable Contemporary, for Home Office Reception Room White Natural Wood","B0BWN6S71L","https://www.amazon.com/dp/B0BWN6S71L?psc=1","https://m.media-amazon.com/images/I/91V+4tkC-vL._AC_SY450_.jpg","HedoAjim",157.92,12,"1,895.04","1,114,809","CN",62.40,1,3.7,3,9,0,"LivStorm","Home & Kitchen","Small Oversize","MFN","27.0x44.0x5.9",69.68,"2/23/2023"
"($) Coffee Table for Living Room, 47''Modern Faux Marble Top Coffee Table with Metal Frame, 2-Tier Living Room Table with Storage Shelf, Rectangular Center Table for Living Room, Office, Black","B0BP21H5VF","https://www.amazon.com/dp/B0BP21H5VF?psc=1","https://m.media-amazon.com/images/I/918JgB6r0AL._AC_SX425_.jpg","gatherstar",129.99,21,"2,729.79","572,342","CN","n/a",2,5.0,2,6,0,"Nice Furniture for You","Home & Kitchen","n/a","MFN","n/a","n/a","12/5/2022"
"Rectangle Modern Coffee Table, Tempered Glass Top and Metal Tubular Leg, 47.3”Lx23.6”Wx18.1”H, Silver","B0BLV6PK3D","https://www.amazon.com/dp/B0BLV6PK3D?psc=1","https://m.media-amazon.com/images/I/91ADrZpvMNL._AC_SX522_.jpg","Edwin's Choice",158.85,512,"81,331.20","56,713","CN",54.56,1,4.4,46,6,9,"Edwin's Choice","Home & Kitchen","Small Oversize","FBA","26.0x3.5x50.0",50.61,"11/9/2022"
"Best Choice Products 2-Tier 35.5in Round Industrial Coffee Table, Rustic Steel Accent Table for Living Room, w/Wooden Tabletop, Reinforced Crossbars, Padded Feet, Open Shelf, Raised Bottom - Gray","B0B5FL6Y2N","https://www.amazon.com/dp/B0B5FL6Y2N?psc=1","https://m.media-amazon.com/images/I/81pJCYptKML._AC_SY450_.jpg","Best Choice Products",99.99,420,"41,995.80","81,924","US",56.73,1,4.7,959,7,19,"BestChoiceproducts","Home & Kitchen","Medium Oversize","MFN","37.0x37.0x5.5",32.00,"10/8/2021"
"LIDYUK End Table with Charging Station, Flip Top Side Table with USB Ports and Outlets, Nightstand for Small Spaces, Bedside Tables with Storage Shelf for Living Room, Bedroom, Dark Cherry","B0C1ZB5XCV","https://www.amazon.com/dp/B0C1ZB5XCV?psc=1","https://m.media-amazon.com/images/I/71bPE4JebFL._AC_SX569_.jpg","LIDYUK",79.99,"3,050","243,969.50","14,315","CN",23.81,1,4.5,"1,899",7,0,"LIDYUK","Home & Kitchen","Large Standard-Size","FBA","13.4x6.2x17.4",17.44,"4/10/2023"
"HOMMPA LED Coffee Tables for Living Room Modern Coffee Table with 4 Drawers High Glossy Center Table with Storage White Coffee Table Cocktail Table with 16 Colors LED Lighting White","B0B28RSC4K","https://www.amazon.com/dp/B0B28RSC4K?psc=1","https://m.media-amazon.com/images/I/71NA3hqs4yL._AC_SY450_.jpg","HOMMPA",199.98,34,"6,799.32","299,209","CN","n/a",2,3.2,118,6,0,"Phycomn","Home & Kitchen","n/a","MFN","25.2x42.9x6.9","n/a","6/15/2022"
"Small Round Coffee Table Circle Modern White Coffee Tables for Living Room Center Table for Small Spaces 24 Inch Wood Accent Coffe Tables Mesa De Centro","B0BGMW8X6M","https://www.amazon.com/dp/B0BGMW8X6M?psc=1","https://m.media-amazon.com/images/I/61LzMnCmIoL._AC_SX466_.jpg","STELOD",49.42,322,"15,913.24","107,925","CN",16.98,1,4.0,173,5,11,"STELOD","Home & Kitchen","Large Standard-Size","FBA","13.2x4.6x17.8",10.25,"n/a"
"WLIVE Round Coffee Table, Living Room Table with 2-Tier Storage Shelf,32in Wood Modern Coffee Table with Metal Frame and Wood Desktop,Easy Assembly,Charcoal Black.","B0B8N5HHG4","https://www.amazon.com/dp/B0B8N5HHG4?psc=1","https://m.media-amazon.com/images/I/815tU43E3GL._AC_SY450_.jpg","WLIVE",69.99,332,"23,236.68","71,008","CN",32.83,1,4.4,102,8,8,"WLIVE","Home & Kitchen","Small Oversize","FBA","18.2x4.0x35.0",30.96,"8/4/2022"
"Lifetime Home Lift Top Coffee Table with Hidden Compartment and Storage Shelf - Living Room Dining Table with Rising Tabletop Lifttop Desk for Apartment, Home, Condo - Rustic Brown","B0C4RML34X","https://www.amazon.com/dp/B0C4RML34X?psc=1","https://m.media-amazon.com/images/I/71mEGx2BjaL._AC_SY450_.jpg","Lifetime Home",63.95,"n/a","n/a","160,777","US",47.46,2,"n/a",0,8,0,"Lifetime Appliance Parts","Home & Kitchen","Small Oversize","MFN","25.0x25.0x15.0",48.00,"5/9/2023"
"WOHOMO Coffee Table, 2 in 1 Unique Detachable Nesting Coffee Table Set of 2, Small Round and Rectangular Living Room Table Set, Industrial Modern Style Coffee Tables for Living Room, Rustic Brown","B0999LY3D4","https://www.amazon.com/dp/B0999LY3D4?psc=1","https://m.media-amazon.com/images/I/81rytBRS9GL._AC_SX679_.jpg","WOHOMO",105.99,370,"39,216.30","84,169","CN",40.75,3,4.5,743,7,39,"Wohomo","Home & Kitchen","Small Oversize","FBA","25.0x3.8x35.8",36.31,"7/13/2021"
