"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"31","Yoobure End Table with Charging Station, Flip Top Side Table with USB Ports and Outlets, Sofa Couch Table Bedside Table for Living Room Bedroom, Narrow Nightstand with Storage Shelves for Small Space","B0B93L5WPW","https://www.amazon.com/dp/B0B93L5WPW?psc=1","https://m.media-amazon.com/images/I/7164+J-WIyL._AC_SX466_.jpg","Yoobure",65.99,3210,211827.9,9221,"HK",21.87,2,4.7,611,6,75,"Super A Plus","Home & Kitchen","Large Standard-Size","FBA","13.2x7.1x17.9","17.88",2022-10-12
"32","End Table with Charging Station, Narrow Side Table with USB Ports and Outlets, Flip Top Nightstand / Bedside Table / Sofa Couch Table for Small Spaces / Slim End Table for Living Room Bedroom Office","B09XF1BD3V","https://www.amazon.com/dp/B09XF1BD3V?psc=1","https://m.media-amazon.com/images/I/813ERoU0RUL._AC_SY355_.jpg","TILLMAO",59.99,921,55250.79,29529,"CN",21.8,3,4.7,517,7,42,"Weili-TECH","Home & Kitchen","Large Standard-Size","FBA","13.9x6.1x17.2","17.39",2022-08-31
"33","ALLOSWELL Small Side Table, End Table with Storage Shelf, 14.6 x 10.6 x 19.9 Inches, Nightstand X-Shaped Design, Bedside Table, Steel Frame, Living Room, Bedroom, Easy Assembly, Rustic Brown ETHR2801","B09G2L33ZX","https://www.amazon.com/dp/B09G2L33ZX?psc=1","https://m.media-amazon.com/images/I/717EXLXHa4L._AC_SX425_.jpg","ALLOSWELL",19.99,486,9715.14,24952,"CN",11.93,7,4.3,471,9,27,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","13.2x3.4x17.3","8.38",2022-01-06
"34","exilot Nightstand Mid-Century Modern Bedside Table with Solid Wood Legs Minimalist and Practical End Side Table, White","B08S3G8TC2","https://www.amazon.com/dp/B08S3G8TC2?psc=1","https://m.media-amazon.com/images/I/71QJ1rGvOGL._AC_SX569_.jpg","exilot",36.99,366,13538.34,91987,"CN",16.27,1,4.4,1140,7,17,"BULLKIN","Home & Kitchen","Large Standard-Size","FBA","13.2x4.7x17.0","10.63",2021-01-05
"35","X-cosrack Wooden Small Nightstand with Storage Drawers Mid Century Modern Bedside Table with Vertical Open Storage Shelf and Solid Wood Legs, End Side Table for Bedroom Natural","B0BLCGQCZT","https://www.amazon.com/dp/B0BLCGQCZT?psc=1","https://m.media-amazon.com/images/I/81QmbK4Wa-L._AC_SX679_.jpg","X-cosrack",39.99,127,5078.73,144447,"CN",17.64,2,3.7,32,7,2,"Merya","Home & Kitchen","Large Standard-Size","FBA","13.1x6.1x17.0","16.92",2022-11-03
"36","SOOWERY Nightstand with Charging Station, Bedside Tables with 3 Tiers Storage Space and Door, End Tables with USB Ports and Outlets for Bedroom, Living Room, Brown","B09ZXX1MV7","https://www.amazon.com/dp/B09ZXX1MV7?psc=1","https://m.media-amazon.com/images/I/71EUTcqdfNL._AC_SY355_.jpg","SOOWERY",79.99,551,44074.49,45706,"CN",23.97,1,4.7,451,7,46,"SOOWERY Direct","Home & Kitchen","Large Standard-Size","FBA","13.4x6.3x17.4","18.01",2022-05-10
"37","FORAOFUR Side Table, Small End Table Accent Table Living Room Bedroom Balcony Office, Modern Side Table Bedside Table Home Decor, Easy Assembly","B09TFHLB3J","https://www.amazon.com/dp/B09TFHLB3J?psc=1","https://m.media-amazon.com/images/I/51UCaA8FFXL._AC_SX425_.jpg","FORAOFUR",23.39,1844,43131.16,12050,"CN",11.32,1,4.6,413,7,36,"HAITE HOME","Home & Kitchen","Large Standard-Size","FBA","13.3x2.8x17.2","4.59",2022-02-25
"38","kepptory White Nightstand with Wireless Charging Station & Adjustable LED Lights, High Gloss End Table with 3 Drawers & USB Charging, Bedside Table Organizer for Bedroom Use","B0BHX3BHXT","https://www.amazon.com/dp/B0BHX3BHXT?psc=1","https://m.media-amazon.com/images/I/81jw-oTPcbL._AC_SX522_.jpg","kepptory",129.98,141,18327.18,557587,"CN",NA,1,4.3,37,9,8,"linjianfengg","Home & Kitchen",NA,"MFN",NA,NA,2022-10-11
"39","LELELINKY End Table with Charging Station,Night Stands with USB Ports & Outlets, Black Nightstands, Bedside Tables with Storage Shelf, Slim Modern Side Table with Bin Drawer for Bedroom","B0C2CWVDXH","https://www.amazon.com/dp/B0C2CWVDXH?psc=1","https://m.media-amazon.com/images/I/7149wfB7P9L._AC_SY355_.jpg","LELELINKY",39.99,NA,NA,50178,"CN",17.04,1,4.4,101,8,2,"Lelelinky Direct","Home & Kitchen","Large Standard-Size","FBA","13.4x4.9x17.3","11.88",2023-04-13
"40","FURINNO Oval End Table, One, Walnut","B01FX5CM8O","https://www.amazon.com/dp/B01FX5CM8O?psc=1","https://m.media-amazon.com/images/I/61zo5IM6j9L._AC_SX466_.jpg","Furinno",15.46,238,3679.48,135476,"AMZ",16.25,6,4.2,1869,6,9,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.8x2.5x24.3","10.60",2016-05-19
"41","TUTOTAK Nightstnd, Set of 2, Stackable End Tables, Side Table, Bedside Tables with Open Storage Shelf, Bedroom, Living Room, Rustic Brown TB01BB039","B0B76Z2TL1","https://www.amazon.com/dp/B0B76Z2TL1?psc=1","https://m.media-amazon.com/images/I/71vHo0fycML._AC_SX679_.jpg","TUTOTAK",39.99,271,10837.29,119231,"CN",18.45,1,4.1,119,7,14,"TUTOTAK","Home & Kitchen","Large Standard-Size","FBA","13.1x7.5x16.9","19.09",2022-07-21
"42","HOOBRO Bedside Table with Pull-Out Collapsible Storage Box, Retro Small Nightstand for Small Space, Living Room, Bedroom, Stable and Sturdy, Rustic Brown and Black BF35BZ01","B08QZ1GMT9","https://www.amazon.com/dp/B08QZ1GMT9?psc=1","https://m.media-amazon.com/images/I/71yKVaS94UL._AC_SY355_.jpg","HOOBRO",24.99,155,3873.45,54901,"CN",13.16,2,4.3,294,9,9,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","13.4x4.2x16.6","9.55",2021-04-16
"43","Fixwal Side Table 2-Tier Tall End Table with Storage Rack Wooden Nightstand White Bedside Table for Living Room Bedroom Office No-Tool Assembly","B0BY12CDQ2","https://www.amazon.com/dp/B0BY12CDQ2?psc=1","https://m.media-amazon.com/images/I/61SL4G7MxsL._AC_SY450_.jpg","Fixwal",21.99,NA,NA,165534,"CN",11.91,1,4.6,9,7,0,"Momok","Home & Kitchen","Large Standard-Size","FBA","13.1x3.0x16.9","7.45",2023-03-10
