"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"39","FOTOSOK Nightstand, 2-Tier Side Table with Drawer and Storage Shelf, Bedside Table End Table, Modern Night Stand for Bedroom, Living Room, Home Office, Vintage Grey","B09Y57GXYZ","https://www.amazon.com/dp/B09Y57GXYZ?psc=1","https://m.media-amazon.com/images/I/714ZXQqZXEL._AC_SY450_.jpg","FOTOSOK",51.99,1060,55109.4,26168,"CN",29.29,1,4.5,597,7,26,"FantiYa Home","Home & Kitchen","Small Oversize","MFN","18.7x5.3x27.0","28.91",2022-04-18
"40","Lerliuo Rattan Nightstand, Boho Side Table with Drawer Open Shelf, Cane Accent Bedside End Table with Solid Wood Legs for Bedroom, Dorm and Small Spaces","B0BRQBVKBB","https://www.amazon.com/dp/B0BRQBVKBB?psc=1","https://m.media-amazon.com/images/I/71jNXilwdaL._AC_SY450_.jpg","Lerliuo",64.99,515,33469.85,56242,"CN",20.92,1,4.3,41,8,19,"Lerliuo Direct","Home & Kitchen","Large Standard-Size","FBA","13.5x5.6x17.8","15.17",2023-01-05
"41","i-aplus Bedside Table with 2 Drawers, LED Nightstand Wooden Cabinet Unit with LED Lights for Bedroom, End Table Side Table for Bedroom Living Room, Black","B08XN99Z9L","https://www.amazon.com/dp/B08XN99Z9L?psc=1","https://m.media-amazon.com/images/I/41e9ncYmM7L._AC_SX355_.jpg","i-aplus",99,204,20196,93404,"US",41.07,1,4.1,560,7,9,"A Not Bad Shop","Home & Kitchen","Small Oversize","MFN","19.5x8.0x22.5","39.36",2021-02-27
"42","exilot Nightstand Mid-Century Modern Bedside Table with Solid Wood Legs Minimalist and Practical End Side Table, White","B08S3G8TC2","https://www.amazon.com/dp/B08S3G8TC2?psc=1","https://m.media-amazon.com/images/I/71QJ1rGvOGL._AC_SX569_.jpg","exilot",36.99,366,13538.34,91987,"CN",16.27,1,4.4,1140,7,17,"BULLKIN","Home & Kitchen","Large Standard-Size","FBA","13.2x4.7x17.0","10.63",2021-01-05
"43","VASAGLE Nightstand, End Table with Open Shelf, Side Table, Inner Adjustable Shelf, Steel Frame, 15.7 x 15.7 x 23.6 Inches, Bedroom, Industrial, Rustic Brown and Black ULET62BX","B07XL2X27V","https://www.amazon.com/dp/B07XL2X27V?psc=1","https://m.media-amazon.com/images/I/81LEdyA9FvL._AC_SX466_.jpg","VASAGLE",35.04,256,8970.24,18761,"AMZ",26.33,4,4.6,2090,6,11,"Amazon","Home & Kitchen","Small Oversize","AMZ","18.0x6.0x26.5","27.51",NA
"44","SONGMICS Nightstand, Industrial Bedside Table with 2 Fabric Drawers, Storage Shelves, Vertical Dresser Storage Tower with Wooden Top, Metal Frame, Labels, Rustic Brown and Black ULVT03H","B07Y1LJS7Z","https://www.amazon.com/dp/B07Y1LJS7Z?psc=1","https://m.media-amazon.com/images/I/71Ff4vDcWHS._AC_SX466_.jpg","SONGMICS",25.37,193,4896.41,52028,"AMZ",21.67,3,4.6,3564,8,13,"Amazon","Home & Kitchen","Small Oversize","AMZ","14.3x4.9x35.8","16.20",2019-12-14
"45","MMEOLUOOK Nightstand with Charging Station, Bedside Tables, End Table Side Table with 2 Tiers Storage Space, for Bedroom, Living Room, BlackMLBZ07BE","B0BY2MRQBG","https://www.amazon.com/dp/B0BY2MRQBG?psc=1","https://m.media-amazon.com/images/I/71zJLrMljfL._AC_SX569_.jpg","MMEOLUOOK",65.99,NA,NA,67716,NA,21.71,1,NA,0,7,0,"MENGLUO","Home & Kitchen","Large Standard-Size","FBA","13.6x7.1x17.5","17.39",2023-05-20
"46","ADORNEVE Nightstand 3 Drawers with Open Storage,Side Tables Bedroom with Charging Station,Bedside Table with Drawers,White","B08QRNK1DT","https://www.amazon.com/dp/B08QRNK1DT?psc=1","https://m.media-amazon.com/images/I/71h59E6-1WL._AC_SY450_.jpg","ADORNEVE",79.99,699,55913.01,31933,"CN",36.01,1,4.3,1902,8,17,"TFUS Household Direct","Home & Kitchen","Small Oversize","MFN","16.3x27.2x6.5","34.20",2020-12-17
"47","Masupu Nightstand with Charging Station,Mid-Century Modern Bedside Table with Storage Drawer and Open Wood Shelf,Small Gold Frame Side Table for Bedroom,Living Room,White","B0BWY9ZCX3","https://www.amazon.com/dp/B0BWY9ZCX3?psc=1","https://m.media-amazon.com/images/I/610H5+D29XL._AC_SY450_.jpg","Masupu",69.99,NA,NA,64934,"CN",23.14,1,4.7,16,7,6,"Masupu","Home & Kitchen","Large Standard-Size","FBA","14.0x7.9x17.5","17.00",2023-02-27
"48","T4TREAM White Nightstand with Charging Station, End Table, Side Table with 2 Drawers Storage Cabinet & Open Shelf for Bedroom, Living Room, Vintage Design, Wood Rustic, Antique White","B0C49DTPG6","https://www.amazon.com/dp/B0C49DTPG6?psc=1","https://m.media-amazon.com/images/I/81+HLa2UwuL._AC_SX522_.jpg","T4TREAM",119.99,NA,NA,18701,"CN",NA,1,4.7,4,6,3,"xiuxiumaoyi","Home & Kitchen",NA,"MFN",NA,NA,2023-05-04
